Rank,Name,School,Pos1,Pos2,Height,Weight,Change,Date
377,Justin Skule,Vanderbilt,OT,,6'7,317,--,2019-02-24
378,Tyrel Dodson,Texas A&M,ILB,,6'2,242,--,2019-02-24
379,Nick Linder,Indiana,OC,,6'3,304,--,2019-02-24
380,Marquis Young,UMass,RBF,,5'11,210,--,2019-02-24
381,Rafael Gaglianone,Wisconsin,PK,,5'11,232,--,2019-02-24
382,Mook Reynolds,Virginia Tech,CB,,6'0,191,--,2019-02-24
383,Malik Fountain,Central Michigan,OLB,,6'2,230,--,2019-02-24
384,Kiy Hester,Rutgers,CB,,6'0,208,--,2019-02-24
385,Jalen Guyton,North Texas,WRF,,6'1,202,--,2019-02-24
386,Charles Wright,Vanderbilt,ILB,,6'3,236,--,2019-02-24
387,Jamal Davis II,Akron,OLB,,6'4,240,--,2019-02-24
388,Saquan Hampton,Rutgers,S,,6'1,209,--,2019-02-24
389,Joe Lowery,Ohio University,OT,,6'6,310,--,2019-02-24
390,Ka'dar Hollman,Toledo,CB,,6'0,190,--,2019-02-24
391,Jordan Ellis,Virginia,RBF,,5'9,224,--,2019-02-24
392,Jesse Burkett,Stanford,OC,,6'4,298,--,2019-02-24
393,B.J. Autry,Jacksonville St,OG,,6'3,351,--,2019-02-24
394,Jon Duhart,Old Dominion,WRF,,6'3,210,--,2019-02-24
395,Dredrick Snelson,UCF,WRF,,6'0,206,--,2019-02-24
396,Jaylen Smith,Louisville,WRF,,6'4,223,--,2019-02-24
